lga_code_2016,lga_name_2016,did_not_go_to_schoolool_indig_f,did_not_go_to_schoolool_indig_m,did_not_go_to_school_non_indig_f,did_not_go_to_school_non_indig_m,did_not_go_to_school_indig_stat_notstated_f,did_not_go_to_school_indig_stat_notstated_m,y8_below_indig_f,y8_below_indig_m,y8_below_non_indig_f,y8_below_non_indig_m,y8_below_indig_stat_notstated_f,y8_below_indig_stat_notstated_m,y10_equiv_indig_f,y10_equiv_indig_m,y10_equiv_non_indig_f,y10_equiv_non_indig_m,y10_equiv_indig_stat_notstated_f,y10_equiv_indig_stat_notstated_m,y12_equiv_indig_f,y12_equiv_indig_m,y12_equiv_non_indig_f,y12_equiv_non_indig_m,y12_equiv_indig_stat_notstated_f,y12_equiv_indig_stat_notstated_m
32270,Central Highlands (Qld),4,7,23,32,0,0,18,29,303,501,3,12,79,113,2058,2793,23,25,135,128,4528,3977,42,31
32310,Charters Towers,3,4,12,22,0,0,29,39,323,466,7,8,73,61,1122,1155,17,10,85,80,1644,1227,4,20
37300,Weipa,6,5,0,3,0,0,7,8,17,21,0,0,45,48,191,325,3,7,109,111,565,560,11,11
30900,Boulia,0,0,0,0,0,0,7,13,4,16,0,0,3,11,30,45,0,0,9,4,57,42,0,0
31000,Brisbane,40,50,3232,2503,44,19,312,321,17010,12219,202,147,1204,1143,61412,53434,418,344,3089,2900,311801,298510,1136,1142
31750,Bulloo,0,0,0,0,0,0,0,0,8,26,0,0,4,10,24,39,0,0,5,3,50,35,0,0
31820,Bundaberg,3,16,133,150,5,10,102,118,2992,3244,45,47,340,314,11259,10662,99,79,372,300,13477,11613,96,92
31900,Burdekin,0,3,25,43,0,0,22,18,610,658,11,7,92,72,1888,2118,30,25,98,94,2412,2067,19,17
31950,Burke,0,0,0,0,0,0,11,11,0,0,0,0,6,11,14,20,0,0,15,20,28,28,0,3
32080,Cairns,45,59,423,387,3,3,307,280,2058,2044,38,25,1079,850,11186,11957,87,112,2010,1494,30374,26465,177,152
32330,Cherbourg,12,6,4,3,0,0,42,36,0,0,0,0,126,103,0,3,0,0,64,55,0,3,0,0
32450,Cloncurry,6,4,4,5,0,0,27,47,28,63,0,0,64,71,145,272,4,6,64,61,374,426,5,3
32500,Cook,0,9,4,9,0,3,29,39,35,86,3,0,76,79,248,392,3,6,109,92,536,501,15,13
32600,Croydon,0,0,0,0,0,0,3,0,3,7,0,0,3,3,27,31,0,0,3,4,23,15,0,0
37310,Western Downs,6,8,35,48,0,0,61,66,841,1074,16,17,166,171,3001,3604,29,32,183,120,4858,4076,25,37
37340,Whitsunday,3,4,41,37,3,4,43,45,577,696,13,3,150,158,3048,3679,26,44,166,169,5260,4680,57,41
32750,Diamantina,0,0,0,0,0,0,3,0,0,8,0,0,6,4,15,21,0,0,0,7,51,50,0,0
41140,Clare and Gilbert Valleys,0,0,0,3,0,0,6,0,182,213,0,3,8,4,588,608,10,6,12,12,1478,1275,14,13
42250,Grant,0,0,0,6,0,0,0,0,135,247,5,10,3,12,445,680,7,3,13,9,1142,827,16,9
